duration,pkts_rate,bytes_rate,size_mean,size_std,size_q1,size_q2,size_q3,size_min,size_max,n_pkts,n_bytes
0.1111910343170166,350.74770407123975,33105.18714580086,94.38461538461539,97.32278184411761,66.0,66.0,66.0,66.0,583.0,39.0,3681.0
0.12081289291381836,66.21809814377,46087.796308063924,696.0,646.3551655243424,72.0,416.0,1510.0,66.0,1510.0,8.0,5568.0
0.11918997764587402,880.9465533416413,1203633.0808470973,1366.2952380952381,337.3984199530994,1466.0,1466.0,1466.0,66.0,1466.0,105.0,143461.0
12.131089925765991,0.7418954154221814,99.16668719476492,133.66666666666666,160.7703676400322,66.0,66.0,78.0,66.0,583.0,9.0,1203.0
12.127624034881592,0.7421074378719287,99.19502752888114,133.66666666666666,160.7703676400322,66.0,66.0,78.0,66.0,583.0,9.0,1203.0
0.19995498657226562,35.007879123185226,5326.198752313181,152.14285714285714,177.66937880024602,66.0,66.0,109.0,66.0,583.0,7.0,1065.0
12.131706953048706,0.9891435761217751,411.40129903531493,415.9166666666667,528.3031734293818,66.0,97.5,441.75,66.0,1514.0,12.0,4991.0
0.1835639476776123,38.133849748611226,31476.76912106795,825.4285714285714,616.3280335162106,188.0,938.0,1466.0,66.0,1466.0,7.0,5778.0
12.125501871109009,0.9896497586291222,411.6118287764957,415.9166666666667,528.3031734293818,66.0,97.5,441.75,66.0,1514.0,12.0,4991.0
0.19135689735412598,36.58086066814601,5513.258286413434,150.71428571428572,177.80142558139264,66.0,66.0,104.0,66.0,583.0,7.0,1055.0
0.2108762264251709,33.194827689521176,5050.355927048578,152.14285714285714,177.66937880024602,66.0,66.0,109.0,66.0,583.0,7.0,1065.0
0.16969990730285645,35.35653080406253,5827.934827536307,164.83333333333334,188.37941914008428,66.0,72.0,117.0,66.0,583.0,6.0,989.0
0.20055103302001953,39.89009619911267,30316.473111325628,760.0,614.2418090621966,72.0,738.0,1466.0,66.0,1466.0,8.0,6080.0
0.17367196083068848,57.57981859690596,39689.76895884728,689.3,662.567438077061,87.5,291.5,1494.0,66.0,1494.0,10.0,6893.0
0.17838501930236816,33.6351114205942,26549.314614655686,789.3333333333334,720.6716003531398,68.0,792.0,1510.0,66.0,1510.0,6.0,4736.0
0.19899296760559082,35.17712250954607,5301.694892510157,150.71428571428572,177.80142558139264,66.0,66.0,104.0,66.0,583.0,7.0,1055.0
16.15456485748291,5.385474679604321,748.9523925118699,139.06896551724137,93.12996642357541,66.0,66.0,204.0,66.0,583.0,87.0,12099.0
0.17997097969055176,33.338708331290995,5495.330423274465,164.83333333333334,188.37941914008428,66.0,72.0,117.0,66.0,583.0,6.0,989.0
16.138935089111328,5.266766334375314,2975.9088647926774,565.035294117647,555.6074883470042,66.0,467.0,945.0,66.0,1514.0,85.0,48028.0
0.18287086486816406,32.81003786100942,25898.056551623435,789.3333333333334,720.6716003531398,68.0,792.0,1510.0,66.0,1510.0,6.0,4736.0
12.062649011611938,0.8290053030950035,109.01419735699297,131.5,155.05047565228557,66.0,66.0,75.0,66.0,583.0,10.0,1315.0
12.062777042388916,0.8289965042759008,109.01304031228095,131.5,155.05047565228557,66.0,66.0,75.0,66.0,583.0,10.0,1315.0
12.062612056732178,0.9119086271087421,114.48598309428844,125.54545454545455,149.02920008957588,66.0,66.0,72.0,66.0,583.0,11.0,1381.0
12.060534000396729,0.9120657509558165,408.19088108686225,447.54545454545456,570.4488445930281,66.0,97.0,674.0,66.0,1514.0,11.0,4923.0
12.06045389175415,0.9120718091315624,408.19359239588016,447.54545454545456,570.4488445930281,66.0,97.0,674.0,66.0,1514.0,11.0,4923.0
12.060401916503906,0.9120757397767306,408.27826751460196,447.6363636363636,570.5407758079208,66.0,97.0,674.5,66.0,1514.0,11.0,4924.0
0.19799304008483887,35.354778112405064,24253.377785109875,686.0,713.6097372814199,66.0,74.0,1510.0,66.0,1510.0,7.0,4802.0
0.16864991188049316,47.43554212864856,6646.905340776879,140.125,168.66122664975492,66.0,66.0,91.0,66.0,583.0,8.0,1121.0
0.04239797592163086,94.34412641286622,15000.71609964573,159.0,154.23034720832342,66.0,72.0,165.0,66.0,426.0,4.0,636.0
12.032657861709595,0.8310715816014405,109.28591298058943,131.5,155.05047565228557,66.0,66.0,75.0,66.0,583.0,10.0,1315.0
0.1868760585784912,48.16026230679433,6351.803484240541,131.88888888888889,160.71261061247353,66.0,66.0,78.0,66.0,583.0,9.0,1187.0
0.026484012603759766,113.27588628220593,35681.90417889487,315.0,346.49771524018263,70.0,74.0,439.5,66.0,805.0,3.0,945.0
0.15058302879333496,59.76769143322181,45815.25591086637,766.5555555555555,662.8083535836334,74.0,505.0,1494.0,66.0,1494.0,9.0,6899.0
0.08475995063781738,70.78814882323654,35653.630957303474,503.6666666666667,559.257146181929,77.0,144.0,1020.25,75.0,1292.0,6.0,3022.0
0.15479278564453125,45.22174577357189,6815.563113016906,150.71428571428572,177.80142558139264,66.0,66.0,104.0,66.0,583.0,7.0,1055.0
