"No.","Time","Source","Destination","Protocol","Length","Info"
"87","9.431055","128.135.24.73","10.30.217.62","TCP","1514","443  >  64561 [PSH, ACK] Seq=59832 Ack=6476 Win=64128 Len=1460 [TCP PDU reassembled in 95]"
"88","9.431135","10.30.217.62","128.135.24.73","TCP","54","64561  >  443 [ACK] Seq=6476 Ack=61292 Win=259264 Len=0"
"89","9.433324","128.135.24.73","10.30.217.62","TCP","1514","443  >  64561 [ACK] Seq=61292 Ack=6476 Win=64128 Len=1460 [TCP PDU reassembled in 95]"
"90","9.433325","128.135.24.73","10.30.217.62","TCP","1514","443  >  64561 [PSH, ACK] Seq=62752 Ack=6476 Win=64128 Len=1460 [TCP PDU reassembled in 95]"
"91","9.433327","128.135.24.73","10.30.217.62","TCP","1514","443  >  64561 [ACK] Seq=64212 Ack=6476 Win=64128 Len=1460 [TCP PDU reassembled in 95]"
"92","9.433329","128.135.24.73","10.30.217.62","TCP","1514","443  >  64561 [PSH, ACK] Seq=65672 Ack=6476 Win=64128 Len=1460 [TCP PDU reassembled in 95]"
"93","9.433330","128.135.24.73","10.30.217.62","TCP","1514","443  >  64561 [ACK] Seq=67132 Ack=6476 Win=64128 Len=1460 [TCP PDU reassembled in 95]"
"94","9.433332","128.135.24.73","10.30.217.62","TCP","1514","443  >  64561 [PSH, ACK] Seq=68592 Ack=6476 Win=64128 Len=1460 [TCP PDU reassembled in 95]"
"95","9.433333","128.135.24.73","10.30.217.62","TLSv1.2","1514","Application Data, Application Data"
"96","9.433335","128.135.24.73","10.30.217.62","TCP","1514","443  >  64561 [PSH, ACK] Seq=71512 Ack=6476 Win=64128 Len=1460 [TCP PDU reassembled in 111]"
"97","9.433337","128.135.24.73","10.30.217.62","TCP","1514","443  >  64561 [ACK] Seq=72972 Ack=6476 Win=64128 Len=1460 [TCP PDU reassembled in 111]"
"98","9.433338","128.135.24.73","10.30.217.62","TCP","1514","443  >  64561 [PSH, ACK] Seq=74432 Ack=6476 Win=64128 Len=1460 [TCP PDU reassembled in 111]"
"99","9.433339","128.135.24.73","10.30.217.62","TCP","1514","443  >  64561 [ACK] Seq=75892 Ack=6476 Win=64128 Len=1460 [TCP PDU reassembled in 111]"
